1	21864	32006	38006	40007	46008	2	1	1
1	22137	32006	38007	40008	46009	2	1	1
1	22153	32006	38007	40009	46009	2	1	1
1	22154	32006	38007	40009	46010	2	1	1
1	22426	32006	38008	40010	46010	2	1	1
1	22443	32006	38008	40011	46011	2	1	1
1	22716	32006	38009	40012	46012	2	1	1
1	22989	32006	38010	40013	46013	2	1	1
1	23006	32006	38010	40014	46014	2	1	1
1	25960	32007	38006	40007	46008	2	1	1
1	26232	32007	38007	40008	46008	2	1	1
1	26233	32007	38007	40008	46009	2	1	1
1	26249	32007	38007	40009	46009	2	1	1
1	26506	32007	38008	40009	46010	2	1	1
1	26522	32007	38008	40010	46010	2	1	1
1	26523	32007	38008	40010	46011	2	1	1
1	26795	32007	38009	40011	46011	2	1	1
1	26796	32007	38009	40011	46012	2	1	1
1	26812	32007	38009	40012	46012	2	1	1
1	27085	32007	38010	40013	46013	2	1	1
1	27102	32007	38010	40014	46014	2	1	1
1	27375	32007	38011	40015	46015	2	1	1
1	27648	32007	38012	40016	46016	2	1	1
1	30328	32008	38007	40008	46008	2	1	1
1	30329	32008	38007	40008	46009	2	1	1
1	30601	32008	38008	40009	46009	2	1	1
1	30602	32008	38008	40009	46010	2	1	1
1	30618	32008	38008	40010	46010	2	1	1
1	30891	32008	38009	40011	46011	2	1	1
1	30892	32008	38009	40011	46012	2	1	1
1	30908	32008	38009	40012	46012	2	1	1
1	31164	32008	38010	40012	46012	2	1	1
1	31181	32008	38010	40013	46013	2	1	1
1	31454	32008	38011	40014	46014	2	1	1
1	31471	32008	38011	40015	46015	2	1	1
1	31727	32008	38012	40015	46015	2	1	1
1	31744	32008	38012	40016	46016	2	1	1
1	34697	32009	38008	40009	46009	2	1	1
1	34698	32009	38008	40009	46010	2	1	1
1	34714	32009	38008	40010	46010	2	1	1
1	34970	32009	38009	40010	46010	2	1	1
1	34971	32009	38009	40010	46011	2	1	1
1	34987	32009	38009	40011	46011	2	1	1
1	35260	32009	38010	40012	46012	2	1	1
1	35277	32009	38010	40013	46013	2	1	1
1	35533	32009	38011	40013	46013	2	1	1
1	35549	32009	38011	40014	46013	2	1	1
1	35550	32009	38011	40014	46014	2	1	1
1	35823	32009	38012	40015	46015	2	1	1
1	35839	32009	38012	40016	46015	2	1	1
1	35840	32009	38012	40016	46016	2	1	1
1	36096	32009	38013	40016	46016	2	1	1
1	38793	32010	38008	40009	46009	2	1	1
1	39066	32010	38009	40010	46010	2	1	1
1	39083	32010	38009	40011	46011	2	1	1
1	39339	32010	38010	40011	46011	2	1	1
1	39355	32010	38010	40012	46011	2	1	1
1	39356	32010	38010	40012	46012	2	1	1
1	39628	32010	38011	40013	46012	2	1	1
1	39629	32010	38011	40013	46013	2	1	1
1	39646	32010	38011	40014	46014	2	1	1
1	39902	32010	38012	40014	46014	2	1	1
1	39918	32010	38012	40015	46014	2	1	1
1	39919	32010	38012	40015	46015	2	1	1
1	39935	32010	38012	40016	46015	2	1	1
1	40191	32010	38013	40016	46015	2	1	1
1	40192	32010	38013	40016	46016	2	1	1
1	43162	32011	38009	40010	46010	2	1	1
1	43435	32011	38010	40011	46011	2	1	1
1	43451	32011	38010	40012	46011	2	1	1
1	43452	32011	38010	40012	46012	2	1	1
1	43708	32011	38011	40012	46012	2	1	1
1	43724	32011	38011	40013	46012	2	1	1
1	43725	32011	38011	40013	46013	2	1	1
1	43741	32011	38011	40014	46013	2	1	1
1	43997	32011	38012	40014	46013	2	1	1
1	43998	32011	38012	40014	46014	2	1	1
1	44014	32011	38012	40015	46014	2	1	1
1	44015	32011	38012	40015	46015	2	1	1
1	44271	32011	38013	40015	46015	2	1	1
1	44287	32011	38013	40016	46015	2	1	1
1	44288	32011	38013	40016	46016	2	1	1
1	47531	32012	38010	40011	46011	2	1	1
1	47547	32012	38010	40012	46011	2	1	1
1	47548	32012	38010	40012	46012	2	1	1
1	47804	32012	38011	40012	46012	2	1	1
1	47820	32012	38011	40013	46012	2	1	1
1	47821	32012	38011	40013	46013	2	1	1
1	48077	32012	38012	40013	46013	2	1	1
1	48093	32012	38012	40014	46013	2	1	1
1	48094	32012	38012	40014	46014	2	1	1
1	48110	32012	38012	40015	46014	2	1	1
1	48366	32012	38013	40015	46014	2	1	1
1	48367	32012	38013	40015	46015	2	1	1
1	48383	32012	38013	40016	46015	2	1	1
1	48384	32012	38013	40016	46016	2	1	1
1	51917	32013	38011	40013	46013	2	1	1
1	52173	32013	38012	40013	46013	2	1	1
1	52189	32013	38012	40014	46013	2	1	1
1	52190	32013	38012	40014	46014	2	1	1
1	52206	32013	38012	40015	46014	2	1	1
1	52446	32013	38013	40014	46014	2	1	1
1	52462	32013	38013	40015	46014	2	1	1
1	52463	32013	38013	40015	46015	2	1	1
1	52479	32013	38013	40016	46015	2	1	1
1	52735	32013	38014	40016	46015	2	1	1
1	52736	32013	38014	40016	46016	2	1	1
1	56558	32014	38013	40015	46014	2	1	1
