# basded on roadset27, using commissioning run 6112-6142 to do the background rejection.
Quadrant	0
0	1	2	22	300.0
0	2	3	7	120.0
0	2	3	8	5600.0
0	3	3	10	1500.0
0	4	4	39	300.0
0	5	3	12	1800.0
0	5	3	13	1800.0
0	6	2	12	600.0
0	6	2	17	300.0
0	6	3	13	600.0
0	6	3	15	600.0
0	7	2	17	900.0
0	7	3	15	1200.0
0	7	3	18	300.0
0	8	2	19	600.0
0	9	2	19	600.0
0	9	2	20	300.0
0	10	11	30	300.0
0	11	2	24	900.0
0	13	2	26	300.0
0	13	2	27	300.0
0	17	19	48	300.0
1	2	3	8	600.0
1	4	3	10	7700.0
1	5	2	13	600.0
1	6	2	12	3500.0
1	6	2	13	1800.0
1	6	2	14	1200.0
1	6	2	15	1500.0
1	6	3	12	1000.0
1	6	3	13	1500.0
1	6	3	14	2100.0
1	6	3	15	1500.0
1	6	3	16	300.0
1	6	4	13	2700.0
1	6	4	14	1100.0
1	6	4	15	600.0
1	7	2	13	1200.0
1	7	2	15	2100.0
1	7	2	16	1400.0
1	7	3	14	3000.0
1	7	3	15	1100.0
1	7	3	16	2500.0
1	7	3	18	300.0
1	7	4	15	600.0
1	7	4	16	900.0
1	8	2	15	200.0
1	8	2	16	1100.0
1	8	2	17	400.0
1	8	2	19	300.0
1	8	3	16	1300.0
1	8	3	21	100.0
1	8	4	16	300.0
1	8	4	20	300.0
1	8	4	21	300.0
1	9	2	17	900.0
1	9	2	19	1200.0
1	9	2	20	1200.0
1	9	2	21	300.0
1	9	3	17	300.0
1	9	3	18	900.0
1	9	3	19	900.0
1	9	3	20	300.0
1	9	3	21	600.0
1	9	3	23	300.0
1	9	4	20	300.0
1	9	6	17	300.0
1	10	2	20	600.0
1	10	2	21	300.0
1	10	2	22	900.0
1	10	2	24	300.0
1	11	2	22	300.0
1	11	2	24	300.0
1	11	3	23	300.0
1	11	3	24	300.0
1	11	3	26	300.0
1	12	2	22	300.0
1	12	2	24	200.0
1	12	3	24	300.0
1	12	3	25	600.0
1	12	3	29	600.0
1	13	2	27	900.0
1	13	3	26	300.0
1	14	2	27	600.0
1	14	2	28	300.0
1	14	3	31	300.0
1	15	2	29	300.0
1	15	2	30	300.0
1	15	2	32	300.0
1	16	3	31	300.0
2	4	3	10	600.0
2	5	4	12	2400.0
2	5	5	12	3900.0
2	6	2	12	1100.0
2	6	3	13	1500.0
2	6	3	14	900.0
2	6	4	12	5600.0
2	7	3	12	1500.0
2	7	3	15	1400.0
2	7	3	16	300.0
2	7	4	17	300.0
2	7	5	14	600.0
2	7	5	16	1100.0
2	8	2	19	300.0
2	8	3	13	300.0
2	8	3	14	1200.0
2	8	3	15	2700.0
2	8	3	16	1400.0
2	8	3	19	300.0
2	8	4	17	1800.0
2	8	4	19	800.0
2	8	5	16	300.0
2	8	5	18	300.0
2	9	2	17	1500.0
2	9	3	16	1200.0
2	9	3	17	1500.0
2	9	3	18	1400.0
2	9	3	20	1200.0
2	9	4	17	100.0
2	9	4	20	600.0
2	10	2	20	900.0
2	10	3	18	300.0
2	10	3	22	300.0
2	10	4	20	700.0
2	10	5	22	300.0
2	11	2	19	300.0
2	11	2	20	800.0
2	11	3	19	300.0
2	11	3	20	900.0
2	11	3	22	900.0
2	11	4	20	300.0
2	11	4	22	600.0
2	12	2	21	600.0
2	12	2	22	300.0
2	12	2	23	900.0
2	12	2	24	400.0
2	12	3	20	300.0
2	12	4	27	300.0
2	13	2	22	800.0
2	13	2	24	600.0
2	13	2	26	100.0
2	13	2	27	300.0
2	13	3	26	300.0
2	13	5	25	300.0
2	14	2	27	600.0
2	14	3	25	300.0
2	14	3	26	600.0
2	14	3	27	300.0
2	14	4	30	600.0
2	15	2	28	300.0
2	15	3	29	200.0
2	15	3	30	300.0
2	15	3	31	300.0
2	16	2	28	300.0
2	16	2	29	300.0
2	16	2	32	300.0
2	16	3	30	300.0
2	17	2	33	300.0
2	18	2	34	300.0
2	19	2	35	300.0
3	5	5	12	600.0
3	6	4	12	2300.0
3	6	5	13	900.0
3	6	6	12	4400.0
3	7	3	12	300.0
3	7	3	13	1500.0
3	7	3	14	300.0
3	7	3	15	300.0
3	7	4	12	700.0
3	7	5	13	6800.0
3	7	5	14	4500.0
3	7	5	15	1800.0
3	7	6	12	900.0
3	8	3	13	300.0
3	8	3	14	1200.0
3	8	3	15	600.0
3	8	3	16	600.0
3	8	3	17	300.0
3	8	4	17	600.0
3	8	5	13	500.0
3	8	5	17	1500.0
3	8	6	17	600.0
3	9	3	14	400.0
3	9	3	15	600.0
3	9	3	18	900.0
3	9	4	20	300.0
3	9	5	15	600.0
3	9	5	18	1500.0
3	9	5	20	300.0
3	10	2	17	1000.0
3	10	2	19	300.0
3	10	2	20	300.0
3	10	3	16	600.0
3	10	3	17	600.0
3	10	3	18	1500.0
3	10	5	17	300.0
3	10	5	20	600.0
3	10	5	21	500.0
3	10	6	20	300.0
3	11	2	19	600.0
3	11	3	18	300.0
3	11	3	20	300.0
3	11	4	20	900.0
3	11	5	19	600.0
3	11	5	22	600.0
3	11	5	24	1200.0
3	11	6	22	600.0
3	12	2	19	300.0
3	12	2	21	600.0
3	12	2	22	300.0
3	12	3	21	900.0
3	12	3	22	300.0
3	12	3	23	600.0
3	12	4	20	300.0
3	12	4	23	500.0
3	12	4	24	600.0
3	12	4	25	900.0
3	12	5	21	300.0
3	12	5	24	600.0
3	12	6	23	900.0
3	12	6	24	300.0
3	13	2	22	1200.0
3	13	2	28	300.0
3	13	3	21	300.0
3	13	3	24	900.0
3	13	3	25	900.0
3	13	4	22	200.0
3	13	4	23	500.0
3	13	4	25	600.0
3	13	5	24	900.0
